chart_position,title,artist,stream_count,date,track_id
1,Angst,"by Loredana, Rymez","660,937",03/11/2020,3R3rQ7FbTJdsi5She10YvI
2,Blinding Lights,by The Weeknd,"459,649",03/11/2020,0sf12qNH5qcw8qpgymFOqD
3,Matrix,by Apache 207,"437,616",03/11/2020,7ygVaACDENw4PgLbN1awFE
4,Sip,by Luciano,"434,556",03/11/2020,4D4tA2ara3ihoOvjupr8cG
5,6 Uhr,by Samra,"367,071",03/11/2020,57e7dy1hUpKVg1aUvKkx5R
6,D A YYY T O N A,by Dardan,"361,546",03/11/2020,5Bj9rLRVpf5xxQwhlyOOeh
7,Roller,by Apache 207,"350,923",03/11/2020,6hw1Sy9wZ8UCxYGdpKrU6M
8,Baby,"by Joker Bra, VIZE","346,408",03/11/2020,1V7JaMp11LKGwKiVmSetf0
9,100k Cash,"by Capital Bra, Samra","342,371",03/11/2020,033if6Adj8fwBYsQzHOfQ8
10,Breaking Me,"by Topic, A7S","337,055",03/11/2020,3H7ihDc1dqLriiWXwsc2po
11,The Box,by Roddy Ricch,"299,837",03/11/2020,0nbXyq5TXYPCO7pr3N8S4I
12,Dance Monkey,by Tones And I,"295,963",03/11/2020,1rgnBhdG2JDFTbYkYRZAku
13,Kein Wort,"by Juju, Loredana, Miksu / Macloud","295,433",03/11/2020,1hoLUVBx0ixX3kn0EX0P5n
14,Mios mit Bars,by Luciano,"290,412",03/11/2020,7Ek9e3eIuktIFjpDRQfmHE
15,Roses - Imanbek Remix,by SAINt JHN,"287,557",03/11/2020,24Yi9hE78yPEbZ4kxyoXAI
16,U23 (feat. Z),by Mert,"272,514",03/11/2020,1iGM29PpHTyrra18Ft0w7O
17,Lass los,"by Dhurata Dora, Azet","240,619",03/11/2020,0K5vPCPPPQYzrKHc17qB1I
18,In Your Eyes (feat. Alida),by Robin Schulz,"237,306",03/11/2020,61ZM92T2zaXIVsqncThQzC
19,Weiss,by Samra,"235,748",03/11/2020,38YP1STiBe3AZevFFJILf4
20,Rich Rich,by Ufo361,"226,592",03/11/2020,3VFT90E0yYjdHSFoGv02us
21,Passt mir so gar nicht,by Joker Bra,"224,884",03/11/2020,7AUPR6VYsmTu8LwDuJVgCe
22,Don't Start Now,by Dua Lipa,"209,193",03/11/2020,6WrI0LAC5M1Rw2MnX2ZvEg
23,Zu Ende,"by Samra, ELIF","207,440",03/11/2020,0Vl4eICpXMjtiK0RhdaWov
24,Falling,by Trevor Daniel,"206,980",03/11/2020,4TnjEaWOeW0eKTKIEvJyCa
25,Treppenhaus,by LEA,"201,903",03/11/2020,3l72nWivgNKYMFC7OwMEO0
26,Karakol,by Capo,"201,135",03/11/2020,0rl7zpqNO7xPbe2CDvyoks
27,200 km/h,by Apache 207,"196,972",03/11/2020,2PGA1AsJal6cyMNmKyE56q
28,GRIND,by Fler,"188,535",03/11/2020,0oFrTaO9UIgqu6MuzkFu7B
29,Godzilla (feat. Juice WRLD),by Eminem,"187,718",03/11/2020,7FIWs0pqAYbP91WWM0vlTQ
30,Close Your Eyes,"by Felix Jaehn, VIZE, Miss Li","183,973",03/11/2020,7N06jo3EnV792VFaG8vuW6
31,Schüsse im Regen,by Samra,"180,729",03/11/2020,3RgJvQlTg7tp5mXtylDXYx
32,What If I Told You That I Love You,by Ali Gatie,"180,053",03/11/2020,3cqPu20DGTGUoZtbJH2Dmi
33,Remember,by Nimo,"179,856",03/11/2020,3yXXNEh8zkNo8hxDjr1tLj
34,110,"by Capital Bra, Samra, LEA","177,105",03/11/2020,67ojvEGRPAUCOohuMPqoRC
35,AUF WIEDERSEHEN,by Mozzik,"176,308",03/11/2020,6JZrs7FFUkTpinCxM1DG3E
36,Intentions (feat. Quavo),by Justin Bieber,"171,495",03/11/2020,4umIPjkehX1r7uhmGvXiSV
37,Alien,by RIN,"165,501",03/11/2020,2RaKlveGCllSaXloN8kmzV
38,Skifahren (feat. Joshi Mizu),"by The Cratez, Bausa, Maxwell","164,360",03/11/2020,7qwWwsa6otLM0UOEamls4s
39,Donuts,by Gzuz,"159,888",03/11/2020,5XVPNr0CAoUn1jD033Ucoo
40,Mon Ami,by Samra,"158,567",03/11/2020,1R4xkZXQUQ8QJtAdwHkSgC
41,KRIMINELL,"by Kianush, PA Sports","157,930",03/11/2020,3ecKtWMr8HK99YOs7L6Ps3
42,Nur wegen dir,by Nimo,"151,467",03/11/2020,0ui2kVwPZKHaZxGhdIzBrp
43,Wieso tust Du dir das an?,by Apache 207,"148,737",03/11/2020,6dNB3XdAzx7kTf5wa8Rg89
44,Vermissen (feat. Henning May),by Juju,"148,674",03/11/2020,07f2b3CTdgKKlhv0mqUksz
45,Ride It,by Regard,"148,635",03/11/2020,2tnVG71enUj33Ic2nFN6kZ
46,2002,"by Sido, Apache 207","148,415",03/11/2020,2u8AXJyk8pICzj2wyPBL0b
47,No Time To Die,by Billie Eilish,"146,736",03/11/2020,73SpzrcaHk0RQPFP73vqVR
48,Para,by Veysel,"144,721",03/11/2020,1UjEKkdgoOwJhqSZqBrpO0
49,Physical,by Dua Lipa,"143,407",03/11/2020,5px6upUHM3fhOP621Edp4V
50,death bed (coffee for your head),"by Powfu, beabadoobee","142,880",03/11/2020,7eJMfftS33KTjuF7lTsMCx
51,Moral of the Story,by Ashe,"142,512",03/11/2020,2nC3QhMI9reBIOWutbU3Tj
52,Still Be Friends (feat. Tory Lanez & Tyga),by G-Eazy,"140,833",03/11/2020,0JjM9bKm4wrwohMslcm892
53,Schlafen,"by Ufo361, Bausa, The Cratez","139,382",03/11/2020,7cV5zRs2cXP0H9e29UMI7Z
54,Hauseingang,by Pashanim,"138,641",03/11/2020,1IikW5aCjY08gagX94j3fJ
55,ROXANNE,by Arizona Zervas,"136,582",03/11/2020,696DnlkuDOXcMAnKlTgXXK
56,Turn Me On (feat. Vula),"by Riton, Oliver Heldens","132,347",03/11/2020,0qaWEvPkts34WF68r8Dzx9
57,Say So,by Doja Cat,"130,574",03/11/2020,3Dv1eDb0MEgF93GpLXlucZ
58,Keine Liebe,"by RIN, Bausa","129,133",03/11/2020,4OVF6uwZlMOSlZmHDnwliX
59,everything i wanted,by Billie Eilish,"128,849",03/11/2020,3ZCTVFBt2Brf31RLEnCkWJ
60,Tilidin,"by Capital Bra, Samra","128,770",03/11/2020,0Dlcu2fgHklOnajVu2dUNU
61,Before You Go,by Lewis Capaldi,"128,369",03/11/2020,2gMXnyrvIjhVBUZwvLZDMP
62,6AM.........,by Dardan,"127,910",03/11/2020,36J10AwMabBYxgNrV2S8gd
63,Life Is Good (feat. Drake),by Future,"127,585",03/11/2020,5yY9lUy8nbvjM1Uyo1Uqoc
64,Ausgehen,by AnnenMayKantereit,"125,976",03/11/2020,3Ve0ag71EeiQalsl7Ha4Dw
65,"Alone, Pt. II","by Alan Walker, Ava Max","125,080",03/11/2020,0bMbDctzMmTyK2j74j3nF3
66,bad guy,by Billie Eilish,"124,659",03/11/2020,2Fxmhks0bxGSBdJ92vM42m
67,Someone You Loved,by Lewis Capaldi,"124,043",03/11/2020,7qEHsqek33rTcFNT9PFqLf
68,You should be sad,by Halsey,"121,598",03/11/2020,7lidXGPXPYLNThITAOTlkK
69,Doch in der Nacht,by Apache 207,"121,271",03/11/2020,3uhTOxvu2h2YEm0uPNF2vi
70,Verkackt,"by Gzuz, Bonez MC","121,225",03/11/2020,0C6bsQq58Ue1XfL5PKTO6D
71,Ich hol dich ab,by Jamule,"121,071",03/11/2020,2rWnTpXD0jq5lymyg4xIKQ
72,COLT,by Samra,"119,982",03/11/2020,76IVpz47q3ghkxoUeTTEKb
73,Salt,by Ava Max,"117,274",03/11/2020,7vgv8KZBSo0TPzyIWG9yzV
74,Supalonely,"by BENEE, Gus Dapperton","115,498",03/11/2020,4nK5YrxbMGZstTLbvj6Gxw
75,Kein Problem,by Apache 207,"114,449",03/11/2020,3Zigq1lfHmFRlyoRrh9k2s
76,Never Seen the Rain,by Tones And I,"113,180",03/11/2020,2grAr8pWMuLWn8ZYEE9wDV
77,KEIN SCHLAF,"by Nimo, Hava","112,727",03/11/2020,1B89LtaW92jj4AqT7OZ0Fj
78,Circles,by Post Malone,"110,645",03/11/2020,21jGcNKet2qwijlDFuPiPb
79,Sunday Best,by Surfaces,"110,167",03/11/2020,1Cv1YLb4q0RzL6pybtaMLo
80,Revenge,by Elias,"110,132",03/11/2020,0VLwCyZ3QIvPXhPXhaiZfk
81,RITMO (Bad Boys For Life),"by Black Eyed Peas, J Balvin","106,460",03/11/2020,6cy3ki60hLwimwIje7tALf
82,Ayy Macarena,by Tyga,"106,216",03/11/2020,6LcauUZjF1eXQrgqMUecHX
83,KK,by KASIMIR1441,"106,201",03/11/2020,6IwbgA2lca6IZZvo2wCL6Q
84,Tusa,"by KAROL G, Nicki Minaj","105,998",03/11/2020,7k4t7uLgtOxPwTpFmtJNTY
85,CASINO ROYAL,"by Kianush, PA Sports","105,640",03/11/2020,3Dkfcd3DbXGVmM05KCRuFA
86,Lose Control,"by MEDUZA, Becky Hill, Goodboys","104,771",03/11/2020,7CHi4DtfK4heMlQaudCuHK
87,Play With Fire,by Nico Santos,"104,340",03/11/2020,240BX4w7PFkHptDrSVZgbA
88,Alles was ich hab,by Fynn Kliemann,"103,724",03/11/2020,1GHgDIODujliWFayEhHx1n
89,Some Say - Felix Jaehn Remix,by Nea,"102,233",03/11/2020,7C1trmcQQ5n5RNy4l6ziCv
90,Shababs botten,by Pashanim,"99,310",03/11/2020,0H9WHopZ62JeDaGau7REMw
91,Blueberry Faygo,by Lil Mosey,"98,416",03/11/2020,22LAwLoDA5b4AaGSkg6bKW
92,Wieder Lila,"by Samra, Capital Bra","98,370",03/11/2020,2kkcJ8tSDV42LdWcPjy6We
93,hot girl bummer,by blackbear,"98,307",03/11/2020,7aiClxsDWFRQ0Kzk5KI5ku
94,Egal,by Michael Wendler,"97,673",03/11/2020,7rjW2CVIOmmQ7U5CGiZcnG
95,Mashkal,"by JURI, Kollegah","96,492",03/11/2020,40Mv1ga6Ue4zOYRR1RYU9P
96,CHING CHING CHING,by Farid Bang,"96,290",03/11/2020,32ojM1s5NBAmuSzkJhS8aP
97,Bin da,by Veysel,"95,346",03/11/2020,2fzPZOozISzcAU7FSwkN7g
