chart_position,title,artist,stream_count,date,track_id
23,Tausend Tattoos,by Sido,"12,991",03/11/2019,2PAYSgrVOBz8RJqp9B7QLu
24,Nese Don,"by Azet, Zuna, RAF Camora","12,935",03/11/2019,1EBK8F9hcrAQo2OGJ66ILb
25,Shallow,"by Lady Gaga, Bradley Cooper","12,837",03/11/2019,2VxeLyX666F8uXCJ0dZF8B
26,Pare,"by Azet, Zuna","12,442",03/11/2019,2E65WRtNfdWZjnIEaah9fA
27,"break up with your girlfriend, i'm bored",by Ariana Grande,"12,396",03/11/2019,4kV4N9D1iKVxx1KLvtTpjS
28,Wow.,by Post Malone,"12,263",03/11/2019,6MWtB6iiXyIwun0YzU6DFP
29,Lelele,"by Azet, Zuna","12,173",03/11/2019,61A9J4906Zkuqd22oasZVR
30,Perfekt (feat. Sofiane),"by RAF Camora, AriBeatz","11,995",03/11/2019,38KR9aB0bPkjM4gKhKr7tr
31,Fading,"by Alle Farben, ILIRA","11,975",03/11/2019,2RP8Svo0pMwZXnVcmOffDw
32,bury a friend,by Billie Eilish,"11,906",03/11/2019,4NzMOnvSJVNKF7nw5NkXIP
33,Kokain,"by Bonez MC, RAF Camora, Gzuz","11,906",03/11/2019,4Bj3usjRTckEJARO0dLbDf
34,ROMEO & JULIET,"by Loredana, Mozzik","11,447",03/11/2019,3uB8KqnEoQq5bTQ1JFHJ7Y
35,JAJA,by Fero47,"11,423",03/11/2019,5z3vuYzS9UF6rD6TmBEdUf
36,Diablo,by Luciano,"11,138",03/11/2019,2myuZYePLUQV4I9KDbMmiW
37,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",by KitschKrieg,"10,680",03/11/2019,4Nip6oiJU24LqcUEi7u19S
38,wish you were gay,by Billie Eilish,"10,665",03/11/2019,4txc3txsIt81diMzGhrVPS
39,Without Me,by Halsey,"10,526",03/11/2019,5p7ujcrUXASCNwRaWNHR1C
40,Happier,"by Marshmello, Bastille","9,576",03/11/2019,2dpaYNEQHiRxtZbfNsse99
41,Wenn die Sonne untergeht,"by Azet, Zuna","9,511",03/11/2019,6eWgN8PoowGfqvDYVPxZAq
42,So Close,"by NOTD, Felix Jaehn, Captain Cuts, Georgia Ku","9,353",03/11/2019,7FjZU7XFs7P9jHI9Z0yRhK
43,Power Over Me,by Dermot Kennedy,"9,283",03/11/2019,0OGNtqKkjI7FCE9HZ4Khgo
44,Look Back at It,by A Boogie Wit da Hoodie,"9,265",03/11/2019,3Ol2xnObFdKV9pmRD2t9x8
45,Say My Name,"by David Guetta, Bebe Rexha, J Balvin","9,255",03/11/2019,0YammaEkYSeo9vQYZ1OwS6
46,Be Alright,by Dean Lewis,"9,190",03/11/2019,3EPXxR3ImUwfayaurPi3cm
47,Con Calma,"by Daddy Yankee, Snow","9,114",03/11/2019,5w9c2J52mkdntKOmRLeM2m
48,Let Me Down Slowly,by Alec Benjamin,"9,080",03/11/2019,2qxmye6gAegTMjLKEBoR3d
49,WTF (feat. Amber Van Day),by HUGEL,"9,041",03/11/2019,0gn93i7HJt0calph67R5Wu
50,So stell ich mir das vor,by 18 Karat,"9,014",03/11/2019,4xguhUOQ0YeguPC9Q3JSfz
51,DODI,by Shindy,"8,964",03/11/2019,63THFs9ovzO3WQsz4lzh0H
52,Road2Goat,by Shindy,"8,744",03/11/2019,7jmyKXzjmjgmloEBZdFIRn
53,Ist es wahr,"by Azet, Zuna","8,630",03/11/2019,4CBmq7qDSuIna6QhW11hYv
54,In My Mind,"by Dynoro, Gigi D'Agostino","8,499",03/11/2019,0E9ZjEAyAwOXZ7wJC0PD33
55,Dresscode Gucci,by Joker Bra,"8,326",03/11/2019,1bdX9WfgtGmkczxGli2zmi
56,Don't Call Me Up,by Mabel,"8,188",03/11/2019,5WHTFyqSii0lmT9R21abT8
57,"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",by benny blanco,"7,793",03/11/2019,1WSGTYKLEpKfNQYYW5Oymt
58,Ghetto,"by Azet, Zuna","7,792",03/11/2019,0zhIsKJiASrRn0k3kRLnAj
59,"5 Minuten (feat. Cro, AnnenMayKantereit & Trettmann)",by KitschKrieg,"7,787",03/11/2019,1rciHe0jRJnF3J6CuAwOH0
60,Dancing With A Stranger (with Normani),by Sam Smith,"7,722",03/11/2019,6Qs4SXO9dwPj5GKvVOv8Ki
61,Cataleya,by Samra,"7,700",03/11/2019,3MrTi2XjvQCZm8V1P1ryuR
62,Body (feat. brando),by Loud Luxury,"7,541",03/11/2019,7K7MUBCnzgBAvMVW2RTWNs
63,Zieh,"by Azet, Zuna","7,502",03/11/2019,0EDfHoIv0QzEybexqdnYkI
64,Sunflower - Spider-Man: Into the Spider-Verse,"by Post Malone, Swae Lee","7,400",03/11/2019,3KkXRkHbMCARz0aVfEt68P
65,Why so Serious,by Alice Merton,"7,179",03/11/2019,1FBzp2RXC04zE31DSCOqAY
66,Nummer unterdrückt,"by Bonez MC, RAF Camora","7,129",03/11/2019,2SRVj6ceeIffVEm9NFyRHI
67,Fast,by Juice WRLD,"7,073",03/11/2019,6MjNilJCVKJq0LfFvo5jWJ
68,Leyla,"by Nimo, Capo","7,022",03/11/2019,08OFGhKf7mK1BGhzMtXaqo
69,Yapma,by C ARMA,"6,933",03/11/2019,1194zYf7UfSXP4omxVTmPa
70,Facetime,by Dardan,"6,895",03/11/2019,0oZyouBDStcJEUbTmSfys2
71,Someone You Loved,by Lewis Capaldi,"6,875",03/11/2019,2TIlqbIneP0ZY1O0EzYLlc
72,Risiko,"by Bonez MC, RAF Camora","6,870",03/11/2019,4HIv1dRF270YMyfvuxnF0d
73,Viva la Dealer,"by SDP, Capital Bra","6,741",03/11/2019,2vuFdbSOLje3khV4rLSEpm
74,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",by DJ Snake,"6,705",03/11/2019,4w8niZpiMy6qz1mntFA5uM
75,HaifischNikez Allstars,"by LX, Maxwell, Bonez MC, Gzuz, Sa4","6,704",03/11/2019,0kLA41xkWzzYzMIEGFuDkP
76,thank you,by Lena,"6,696",03/11/2019,3uCZ4IqMY54A0jxRkyPGPl
77,Casanova,"by Summer Cem, Bausa","6,696",03/11/2019,0jB0RNZIfaihaDKNmdrI40
78,Bad Liar,by Imagine Dragons,"6,658",03/11/2019,2RSHsoi04658QL5xgQVov3
79,Ich liebe es (feat. XATAR & SAMY),by Capital Bra,"6,629",03/11/2019,71XGMPKmWtVxO7bGcGZhbn
80,Close To Me (with Diplo) (feat. Swae Lee),by Ellie Goulding,"6,538",03/11/2019,5JEx7HbmvHQQswJCsoo9rA
81,Better Now,by Post Malone,"6,533",03/11/2019,7dt6x5M1jzdTEt8oCbisTK
82,Geld verdammt,"by Azet, Zuna, Miami Yacine","6,519",03/11/2019,4l39FpxE1Gq0G6T2wMaabb
83,Melodien (feat. Juju),by Capital Bra,"6,456",03/11/2019,5d35jcJj7WjDQBOHCHPY6t
84,Eastside (with Halsey & Khalid),by benny blanco,"6,455",03/11/2019,7FGq80cy8juXBCD2nrqdWU
85,G Klasse (feat. Lil Lano & M.O.030),by King Khalil,"6,448",03/11/2019,6Xt6kg1kGrZCi4gJhijxeT
86,Dior 2001,by RIN,"6,377",03/11/2019,2eNSyVH3sNPiAj9WpRYK73
87,Robbery,by Juice WRLD,"6,370",03/11/2019,6Hj9jySrnFppAI0sEMCZpJ
88,Last Hurrah,by Bebe Rexha,"6,354",03/11/2019,0i0wnv9UoFdZ5MfuFGQzMy
89,Ohne mein Team,"by Bonez MC, RAF Camora, Maxwell","6,337",03/11/2019,05Mp2UJulSttxQ4E6hQPH3
90,Neymar,"by Capital Bra, Ufo361","6,328",03/11/2019,7ecGSqT8Ulbzhs5QwgWGVN
91,Wild Stare,by Giant Rooks,"6,242",03/11/2019,2SClPoLfPJmwrr3EyfgRTS
92,Who Do You Love,"by The Chainsmokers, 5 Seconds of Summer","6,187",03/11/2019,11cDEev79fPKi6uJCjUhu8
93,MIDDLE CHILD,by J. Cole,"6,143",03/11/2019,2JvzF1RMd7lE3KmFlsyZD8
94,Skam Koh,"by Azet, Zuna","6,117",03/11/2019,7DPU8m1PkKE6t1uekL4Fm4
95,2002,by Anne-Marie,"6,077",03/11/2019,2BgEsaKNfHUdlh97KmvFyo
96,Talk,"by Khalid, Disclosure","6,037",03/11/2019,0rTV5WefWd1J3OwIheTzxM
97,Love Someone,by Lukas Graham,"5,993",03/11/2019,3id2EVGKc3eFAMn9nFnB0r
98,Deine Mutter,"by Kool Savas, Nessi","5,957",03/11/2019,4y8xXLG9O3Rbl6e1KaNRTG
99,Let You Love Me,by Rita Ora,"5,949",03/11/2019,5Fla3zyOCcIRqrDoKLU0DP
100,Feuer,by Capital Bra,"5,896",03/11/2019,3yuMTMJQ2gkvLhMVZLrcRV
101,Zoey,"by Nimo, Capo","5,824",03/11/2019,0dGSOCj6hdV5Nr0V8FjONc
102,Bones (feat. OneRepublic),by Galantis,"5,801",03/11/2019,1pfgsjmxVZhoZpeDx6POKv
103,Chlorine,by Twenty One Pilots,"5,797",03/11/2019,23OXdR7YuUBVWh5hSnYJau
104,Ruin My Life,by Zara Larsson,"5,753",03/11/2019,5tAa8Uaqr4VvA3693mbIhU
105,Nothing Breaks Like a Heart (feat. Miley Cyrus),by Mark Ronson,"5,670",03/11/2019,27rdGxbavYJeBphck5MZAF
106,Mercedes,by Eno,"5,660",03/11/2019,3FHppoOv1gMexzC9XyMCFz
107,Licht (feat. Dardan),by Bausa,"5,654",03/11/2019,07zfbHDB3sGLROy9jVyTLP
108,lovely,"by Billie Eilish, Khalid","5,643",03/11/2019,1NJcg626wLln4pGHpiV7mf
109,"thank u, next",by Ariana Grande,"5,613",03/11/2019,3e9HZxeyfWwjeyPAMmWSSQ
110,Warnung,by Kontra K,"5,606",03/11/2019,3OgD9c7c6GhEWUK660Ezbr
111,when the party's over,by Billie Eilish,"5,602",03/11/2019,14JzyD6FlBD5z0wV5P07YI
112,Allein,by Capital Bra,"5,595",03/11/2019,4tW7mc0pab35DznfVlr3px
113,#niemalsantäuschen,by Farid Bang,"5,571",03/11/2019,4mI0sGmXHviRF9QbY4bfq7
114,UFF,"by Veysel, Gzuz","5,496",03/11/2019,3Rq0ElVcisouAl71RtnTUS
115,Facetime - Remix,"by Dardan, Bausa, reezy","5,495",03/11/2019,65ABT1Rjw8P6QDo0NDNtrW
116,Here With Me,"by Marshmello, CHVRCHES","5,468",03/11/2019,5icOoE6VgqFKohjWWNp0Ac
117,Happy Now,"by Kygo, Sandro Cavazza","5,467",03/11/2019,14sOS5L36385FJ3OL8hew4
118,Bohemian Rhapsody - Remastered 2011,by Queen,"5,413",03/11/2019,7tFiyTwD0nx5a1eklYtX2J
119,Primo,by RAF Camora,"5,393",03/11/2019,7y5chiQbuvviOYUfUmOPqo
120,Ala bin,by Seiler und Speer,"5,388",03/11/2019,6hSbkhKnY0INN355GvKmgO
121,Like I Love You (feat. The NGHBRS),by Lost Frequencies,"5,346",03/11/2019,30K9xVNSog0DVr5ey5yVoY
122,rockstar (feat. 21 Savage),by Post Malone,"5,344",03/11/2019,0e7ipj03S05BNilyu5bRzt
123,BONNIE & CLYDE,"by Loredana, Mozzik","5,295",03/11/2019,5UtiebKGhsSce9gX1qCqic
124,Always Remember Us This Way,by Lady Gaga,"5,275",03/11/2019,2rbDhOo9Fh61Bbu23T2qCk
125,Meer,by Luciano,"5,266",03/11/2019,1LcvTvRfWrQjrF6aymfugd
126,Rise,"by Jonas Blue, Jack & Jack","5,241",03/11/2019,3KLygy1YWhmrQx0GRs7IOx
127,Going Bad (feat. Drake),by Meek Mill,"5,178",03/11/2019,2IRZnDFmlqMuOrYOLnZZyc
128,Hold My Girl,by George Ezra,"5,049",03/11/2019,42bbDWZ8WmXTH7PkYAlGLu
129,Crack Koks Piece Unternehmen,"by Azet, Zuna, Nash","4,997",03/11/2019,5dhon2CluRK2u1m8hJHmk6
130,Just You and I,by Tom Walker,"4,962",03/11/2019,03x2rVJRFUrvwlfxoHd9Mo
131,Moonlight,by Gaullin,"4,950",03/11/2019,0A5gdlrpAuQqZ2iFgnqBFW
132,Pure Water (with Migos),by Mustard,"4,919",03/11/2019,63cd4JkwGgYJrbOizbfmsp
133,One Night Stand,by Capital Bra,"4,841",03/11/2019,3AXtDUSO78KrGa9Rq8rWUS
134,Better When You're Gone,"by David Guetta, Brooks, Loote","4,829",03/11/2019,4Tvw0lweq9l2JPQKFbpbBQ
135,Thunderclouds,"by Sia, Diplo, Labrinth, LSD","4,820",03/11/2019,2c7GlMNmF7pbohjykutmLP
136,Whenever (feat. Conor Maynard),"by Kris Kross Amsterdam, The Boy Next Door","4,820",03/11/2019,3DGar7krWlmrXRFHBcQF6z
137,Shem Shem & Sex,"by Nimo, Capo","4,769",03/11/2019,6ujq8IjOGkbJrp09qarW1E
138,Copacabana,"by Leon Machère, Stard Ova, KALUMA","4,759",03/11/2019,214Mx6MSJhtaO1uPtZGqLH
139,Youngblood,by 5 Seconds of Summer,"4,718",03/11/2019,2iUXsYOEPhVqEBwsqP70rE
140,Swervin (feat. 6ix9ine),by A Boogie Wit da Hoodie,"4,706",03/11/2019,1wJRveJZLSb1rjhnUHQiv6
141,Nur ein Tanz,by Pietro Lombardi,"4,645",03/11/2019,6oaNpCVXUtmG0eKxsPO6Uf
142,SICKO MODE,by Travis Scott,"4,615",03/11/2019,2xLMifQCjDGFmkHkpNLD9h
143,Promises (with Sam Smith),"by Calvin Harris, Jessie Reyez","4,614",03/11/2019,5N5k9nd479b1xpDZ4usjrg
144,Intro,by Juju,"4,600",03/11/2019,4wW6VRscjuToZbt5zrxNFR
145,Palmen aus Plastik,"by Bonez MC, RAF Camora","4,583",03/11/2019,6wHRm1KR8pzVDPdmR6Qovj
146,Lambo Diablo GT (feat. Nimo & Juju) - Remix,by Capo,"4,561",03/11/2019,3TMW1GOB1lsmvf8er2dE8g
147,Prominent,"by Bonez MC, RAF Camora","4,551",03/11/2019,4JxvECbZ3Oes1eUrmhQNSH
148,My Bad,by Khalid,"4,540",03/11/2019,1DUSuNhF8P5vUGNPpQiZa5
149,Walk Me Home,by P!nk,"4,503",03/11/2019,7DHApOHsIFo7EyfieArYGE
150,SAD!,by XXXTENTACION,"4,503",03/11/2019,3ee8Jmje8o58CHK66QrVC2
151,Please Me,"by Cardi B, Bruno Mars","4,455",03/11/2019,0PG9fbaaHFHfre2gUVo7AN
152,No Sleep (feat. Bonn),by Martin Garrix,"4,444",03/11/2019,1ahVFh0ViDZr8LvkEVlq3B
153,Was du Liebe nennst,by Bausa,"4,414",03/11/2019,2hIY4sjfMeKwXXh2LvhrMo
154,Calma - Remix,"by Pedro Capó, Farruko","4,361",03/11/2019,5iwz1NiezX7WWjnCgY5TH4
155,Don't Stop Me Now - Remastered 2011,by Queen,"4,333",03/11/2019,5T8EDUDqKcs6OSOwEsfqG7
156,Baui Coupé,"by Diplo, Bausa","4,327",03/11/2019,4J2c8Mk8stfWPzt1u0G90W
157,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",by Rudimental,"4,286",03/11/2019,20ZP3Om9DvDazXrNUC7WM2
158,Lucid Dreams,by Juice WRLD,"4,239",03/11/2019,285pBltuF7vW8TeWk8hdRR
159,ZEZE (feat. Travis Scott & Offset),by Kodak Black,"4,205",03/11/2019,0FZ4Dmg8jJJAPJnvBIzD9z
160,Murder On My Mind,by YNW Melly,"4,191",03/11/2019,7eBqSVxrzQZtK2mmgRG6lC
161,Hear Me Calling,by Juice WRLD,"4,187",03/11/2019,13ZyrkCDmRz5xY3seuAWYk
162,Nevermind,by Dennis Lloyd,"4,166",03/11/2019,63SevszngYpZOwf63o61K4
163,Solo (feat. Demi Lovato),by Clean Bandit,"4,157",03/11/2019,3NuK5xMlSlB6K2Qp16zf3h
164,Tamam Tamam,by Summer Cem,"4,094",03/11/2019,2eRq2jwsZtb0uGH4qUsvT1
165,Polaroid,"by Jonas Blue, Liam Payne, Lennon Stella","4,091",03/11/2019,6XqvFyJGdUD5IWee02ARKU
166,Saturday Nights,by Khalid,"4,077",03/11/2019,5kfNriitmkNE8mUbZ7gbq8
167,Natural,by Imagine Dragons,"4,067",03/11/2019,2FY7b99s15jUprqC0M5NCT
168,I Like Me Better,by Lauv,"4,018",03/11/2019,2P91MQbaiQOfbiz9VqhqKQ
169,Girls Like You (feat. Cardi B),by Maroon 5,"4,003",03/11/2019,7fa9MBXhVfQ8P8Df9OEbD8
170,Almost (Sweet Music),by Hozier,"3,960",03/11/2019,6UTmrvq4nRmx1iQ6iMd1FD
171,Kontrollieren,"by RAF Camora, Bonez MC, Gzuz, Maxwell","3,930",03/11/2019,1uGERQ2DVv7j9WSsWzOHVp
172,Roli Glitzer Glitzer (feat. Luciano & Eno),by Capital Bra,"3,867",03/11/2019,5P8EPCYTLW2bR4PanlvEpI
173,Moonlight,by XXXTENTACION,"3,864",03/11/2019,0JP9xo3adEtGSdUEISiszL
174,Baila Baila Baila,by Ozuna,"3,828",03/11/2019,7uH27oIt4a6cIFCA8ZPcyG
175,Andere Liga,by RAF Camora,"3,814",03/11/2019,2NWZiXyRdKEolP8QrjBGmp
176,Trance,by Qzeng,"3,809",03/11/2019,5eA0fLfQRw9WuX34ZRPvAT
177,Cordula Grün,by Josh.,"3,792",03/11/2019,483ykNWhSQXYprueXUMNeo
178,Arms Around You (feat. Maluma & Swae Lee),"by XXXTENTACION, Lil Pump","3,776",03/11/2019,2LskIZrCeLxRvCiGP8gxlh
179,Under Water - Club Edit,by AVEC,"3,766",03/11/2019,3Bf7jl5Xr38QhPKyDXeQAz
180,PARAMILITÄR,"by GENT, Kollegah","3,702",03/11/2019,5dMuxROTRzrBcvi2zrLP7M
181,Ballin,by Luciano,"3,683",03/11/2019,4PwQl3zVNOg1NUZzTOux8S
182,Ja Mann!,"by Bonez MC, RAF Camora","3,662",03/11/2019,4XHP5B63UsW0GniEx7oMHu
183,MILLIONDOLLAR$MILE,by Loredana,"3,654",03/11/2019,4nBcGqwztDJ29cyHVJtXsB
184,idontwannabeyouanymore,by Billie Eilish,"3,647",03/11/2019,40T5GIqQ1CegGm2PTEl8Bu
185,Make Believe,by Juice WRLD,"3,638",03/11/2019,6eiztdXRkooWsBt2xToMWI
186,bellyache,by Billie Eilish,"3,628",03/11/2019,51NFxnQvaosfDDutk0tams
187,Farben,by Kontra K,"3,600",03/11/2019,6hFmSZIw5gmn9mK4hfqozy
188,Rewrite The Stars (with James Arthur & Anne-Marie),by James Arthur,"3,581",03/11/2019,6mQLN3zRtAp6ovjusyYKrV
189,Shotgun,by George Ezra,"3,564",03/11/2019,4ofwffwvvnbSkrMSCKQDaC
190,This Feeling,"by The Chainsmokers, Kelsea Ballerini","3,549",03/11/2019,4NBTZtAt1F13VvlSKe6KTl
191,So Am I,by Ava Max,"3,545",03/11/2019,0uUNN1nSoUx1A4fkDCWDQ7
192,Blah Blah Blah,by Armin van Buuren,"3,520",03/11/2019,0tp6mwUt99QnfY95T30Lqj
193,Mula,by Mert,"3,518",03/11/2019,06xtJscJRJBZjTThCy46iq
194,Kompanie,"by Bonez MC, RAF Camora, Hanybal","3,484",03/11/2019,6Cy4jkukjKnIqGYkU7xCeF
195,FRIENDS,"by Marshmello, Anne-Marie","3,471",03/11/2019,08bNPGLD8AhKpnnERrAc6G
196,Inshallah (feat. Capital Bra),by Bushido,"3,469",03/11/2019,3nwG4L1J4a8MXq4R01Hilb
197,Taste (feat. Offset),by Tyga,"3,459",03/11/2019,5IaHrVsrferBYDm0bDyABy
198,Back To You - From 13 Reasons Why – Season 2 Soundtrack,by Selena Gomez,"3,454",03/11/2019,4hQ6UGyWQIGJmHSo0J88JW
199,Roadrunner,"by Nimo, Capo","3,435",03/11/2019,5ryCDI7vwLZp2PyHRdXGLC
200,Paradies,"by Ufo361, RAF Camora","3,405",03/11/2019,2kx7rcukcL50UysnBiWJxf
1,Wolke 10,by MERO,"57,009",03/12/2019,14f1n3XCW3fQhAODW0CwLK
2,DNA,"by KC Rebell, Summer Cem, Capital Bra","27,655",03/12/2019,4BD9yUEFI07WaDJ381DDMq
3,Gib Ihm,by SHIRIN DAVID,"23,418",03/12/2019,5iIgIxtMNeogKaFUfvuAbs
4,Capital Bra je m'appelle,by Capital Bra,"21,953",03/12/2019,6VMAFT0zfide2Jg8MVZAPz
5,2x,by Mathea,"21,475",03/12/2019,2pu5rVWy3zPlgypJzL3Mlw
6,Prinzessa,by Capital Bra,"20,619",03/12/2019,7r55d7IhAj5UGKiYbXBwRP
7,Ferrari,"by Eno, MERO","19,818",03/12/2019,4AgK0CwpwcekXVdAoYB2VO
8,Kamehameha,"by Azet, Zuna","19,702",03/12/2019,0qzX2dAs1otoAABKNHUwRb
9,Fragen,"by Azet, Zuna","18,877",03/12/2019,3gs4lX2JSAFc8v8piogE3i
10,Sweet but Psycho,by Ava Max,"18,535",03/12/2019,25sgk305KZfyuqVBQIahim
11,Hobby Hobby,by MERO,"17,829",03/12/2019,260R90ctQ1SiPax90PuEsT
12,500 PS,"by Bonez MC, RAF Camora","17,520",03/12/2019,4UOXo3xWnxYdTf3sFyRaUG
13,Sucker,by Jonas Brothers,"17,270",03/12/2019,4y3OI86AEP6PQoDE6olYhO
14,Benzema,by Capital Bra,"15,888",03/12/2019,7KPGeiXWDsGEvFK62wzU8E
15,7 rings,by Ariana Grande,"15,560",03/12/2019,6ocbgoVGwYJhOv1GgI9NsF
16,Speechless (feat. Erika Sirola),by Robin Schulz,"14,822",03/12/2019,1rCcsYnmqbMYdkG7kS9GC5
17,Baller los,by MERO,"14,249",03/12/2019,1IPRghUN3LFPNbCTsfBJx9
18,Giant (with Rag'n'Bone Man),by Calvin Harris,"14,032",03/12/2019,5itOtNx0WxtJmi1TQ3RuRd
19,Pam Pam,"by Azet, Zuna","14,016",03/12/2019,7varEevkxnTyw3qufGfE6V
20,High Hopes,by Panic! At The Disco,"13,787",03/12/2019,1rqqCSm0Qe4I9rUvWncaom
21,Hallo Hallo,"by Azet, Zuna","12,896",03/12/2019,0RjhrAgD7bSYBi0fyqX616
22,Shallow,"by Lady Gaga, Bradley Cooper","12,672",03/12/2019,2VxeLyX666F8uXCJ0dZF8B
23,Tausend Tattoos,by Sido,"12,565",03/12/2019,2PAYSgrVOBz8RJqp9B7QLu
24,i'm so tired...,"by Lauv, Troye Sivan","12,558",03/12/2019,7COXchtUOMd6uIT6HvmRaI
25,Wow.,by Post Malone,"12,397",03/12/2019,6MWtB6iiXyIwun0YzU6DFP
26,"break up with your girlfriend, i'm bored",by Ariana Grande,"12,175",03/12/2019,4kV4N9D1iKVxx1KLvtTpjS
27,Fading,"by Alle Farben, ILIRA","12,123",03/12/2019,2RP8Svo0pMwZXnVcmOffDw
28,Kokain,"by Bonez MC, RAF Camora, Gzuz","12,082",03/12/2019,4Bj3usjRTckEJARO0dLbDf
29,Perfekt (feat. Sofiane),"by RAF Camora, AriBeatz","11,979",03/12/2019,38KR9aB0bPkjM4gKhKr7tr
30,bury a friend,by Billie Eilish,"11,458",03/12/2019,4NzMOnvSJVNKF7nw5NkXIP
31,Lelele,"by Azet, Zuna","11,332",03/12/2019,61A9J4906Zkuqd22oasZVR
32,Nese Don,"by Azet, Zuna, RAF Camora","11,284",03/12/2019,1EBK8F9hcrAQo2OGJ66ILb
33,JAJA,by Fero47,"11,237",03/12/2019,5z3vuYzS9UF6rD6TmBEdUf
34,ROMEO & JULIET,"by Loredana, Mozzik","11,234",03/12/2019,3uB8KqnEoQq5bTQ1JFHJ7Y
35,Diablo,by Luciano,"10,947",03/12/2019,2myuZYePLUQV4I9KDbMmiW
36,Without Me,by Halsey,"10,876",03/12/2019,5p7ujcrUXASCNwRaWNHR1C
37,Pare,"by Azet, Zuna","10,839",03/12/2019,2E65WRtNfdWZjnIEaah9fA
38,"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)",by KitschKrieg,"10,756",03/12/2019,4Nip6oiJU24LqcUEi7u19S
39,Look Back at It,by A Boogie Wit da Hoodie,"10,693",03/12/2019,3Ol2xnObFdKV9pmRD2t9x8
40,wish you were gay,by Billie Eilish,"10,192",03/12/2019,4txc3txsIt81diMzGhrVPS
41,Be Alright,by Dean Lewis,"9,517",03/12/2019,3EPXxR3ImUwfayaurPi3cm
42,Happier,"by Marshmello, Bastille","9,419",03/12/2019,2dpaYNEQHiRxtZbfNsse99
43,Power Over Me,by Dermot Kennedy,"9,368",03/12/2019,0OGNtqKkjI7FCE9HZ4Khgo
44,WTF (feat. Amber Van Day),by HUGEL,"9,351",03/12/2019,0gn93i7HJt0calph67R5Wu
45,Con Calma,"by Daddy Yankee, Snow","9,278",03/12/2019,5w9c2J52mkdntKOmRLeM2m
46,So Close,"by NOTD, Felix Jaehn, Captain Cuts, Georgia Ku","9,062",03/12/2019,7FjZU7XFs7P9jHI9Z0yRhK
47,Wenn die Sonne untergeht,"by Azet, Zuna","8,994",03/12/2019,6eWgN8PoowGfqvDYVPxZAq
48,DODI,by Shindy,"8,993",03/12/2019,63THFs9ovzO3WQsz4lzh0H
49,Let Me Down Slowly,by Alec Benjamin,"8,969",03/12/2019,2qxmye6gAegTMjLKEBoR3d
50,In My Mind,"by Dynoro, Gigi D'Agostino","8,717",03/12/2019,0E9ZjEAyAwOXZ7wJC0PD33
51,Say My Name,"by David Guetta, Bebe Rexha, J Balvin","8,641",03/12/2019,0YammaEkYSeo9vQYZ1OwS6
