chart_position,title,artist,stream_count,date,track_id
1,Wolke 10,by MERO,"62,873",03/11/2019,14f1n3XCW3fQhAODW0CwLK
2,DNA,"by KC Rebell, Summer Cem, Capital Bra","28,890",03/11/2019,4BD9yUEFI07WaDJ381DDMq
3,Gib Ihm,by SHIRIN DAVID,"24,503",03/11/2019,5iIgIxtMNeogKaFUfvuAbs
4,Capital Bra je m'appelle,by Capital Bra,"22,216",03/11/2019,6VMAFT0zfide2Jg8MVZAPz
5,Kamehameha,"by Azet, Zuna","21,781",03/11/2019,0qzX2dAs1otoAABKNHUwRb
6,2x,by Mathea,"21,356",03/11/2019,2pu5rVWy3zPlgypJzL3Mlw
7,Prinzessa,by Capital Bra,"20,540",03/11/2019,7r55d7IhAj5UGKiYbXBwRP
8,Ferrari,"by Eno, MERO","20,331",03/11/2019,4AgK0CwpwcekXVdAoYB2VO
9,Fragen,"by Azet, Zuna","19,680",03/11/2019,3gs4lX2JSAFc8v8piogE3i
10,Sweet but Psycho,by Ava Max,"18,122",03/11/2019,25sgk305KZfyuqVBQIahim
11,Hobby Hobby,by MERO,"17,985",03/11/2019,260R90ctQ1SiPax90PuEsT
12,Sucker,by Jonas Brothers,"17,472",03/11/2019,4y3OI86AEP6PQoDE6olYhO
13,500 PS,"by Bonez MC, RAF Camora","17,267",03/11/2019,4UOXo3xWnxYdTf3sFyRaUG
14,7 rings,by Ariana Grande,"16,012",03/11/2019,6ocbgoVGwYJhOv1GgI9NsF
15,Benzema,by Capital Bra,"15,383",03/11/2019,7KPGeiXWDsGEvFK62wzU8E
16,Pam Pam,"by Azet, Zuna","15,196",03/11/2019,7varEevkxnTyw3qufGfE6V
17,Speechless (feat. Erika Sirola),by Robin Schulz,"15,112",03/11/2019,1rCcsYnmqbMYdkG7kS9GC5
18,Baller los,by MERO,"14,635",03/11/2019,1IPRghUN3LFPNbCTsfBJx9
19,High Hopes,by Panic! At The Disco,"14,150",03/11/2019,1rqqCSm0Qe4I9rUvWncaom
20,Giant (with Rag'n'Bone Man),by Calvin Harris,"13,750",03/11/2019,5itOtNx0WxtJmi1TQ3RuRd
21,Hallo Hallo,"by Azet, Zuna","13,200",03/11/2019,0RjhrAgD7bSYBi0fyqX616
22,i'm so tired...,"by Lauv, Troye Sivan","12,998",03/11/2019,7COXchtUOMd6uIT6HvmRaI
