chart_position,title,artist,stream_count,date,track_id
1,Wolke 10,by MERO,"63,091",03/11/2019,14f1n3XCW3fQhAODW0CwLK
2,Con Calma,"by Daddy Yankee, Snow","32,224",03/11/2019,5w9c2J52mkdntKOmRLeM2m
3,Shallow,"by Lady Gaga, Bradley Cooper","30,423",03/11/2019,2VxeLyX666F8uXCJ0dZF8B
4,Kamehameha,"by Azet, Zuna","29,906",03/11/2019,0qzX2dAs1otoAABKNHUwRb
5,7 rings,by Ariana Grande,"26,864",03/11/2019,6ocbgoVGwYJhOv1GgI9NsF
6,Pare,"by Azet, Zuna","25,050",03/11/2019,2E65WRtNfdWZjnIEaah9fA
7,Calma - Remix,"by Pedro Capó, Farruko","24,314",03/11/2019,5iwz1NiezX7WWjnCgY5TH4
8,Sweet but Psycho,by Ava Max,"23,417",03/11/2019,25sgk305KZfyuqVBQIahim
9,Baila Baila Baila,by Ozuna,"23,083",03/11/2019,7uH27oIt4a6cIFCA8ZPcyG
10,Wow.,by Post Malone,"22,469",03/11/2019,6MWtB6iiXyIwun0YzU6DFP
11,DNA,"by KC Rebell, Summer Cem, Capital Bra","21,869",03/11/2019,4BD9yUEFI07WaDJ381DDMq
12,Pam Pam,"by Azet, Zuna","21,278",03/11/2019,7varEevkxnTyw3qufGfE6V
13,Fragen,"by Azet, Zuna","20,198",03/11/2019,3gs4lX2JSAFc8v8piogE3i
14,Capital Bra je m'appelle,by Capital Bra,"20,096",03/11/2019,6VMAFT0zfide2Jg8MVZAPz
15,Giant (with Rag'n'Bone Man),by Calvin Harris,"19,956",03/11/2019,5itOtNx0WxtJmi1TQ3RuRd
16,High Hopes,by Panic! At The Disco,"19,813",03/11/2019,1rqqCSm0Qe4I9rUvWncaom
17,Sucker,by Jonas Brothers,"19,763",03/11/2019,4y3OI86AEP6PQoDE6olYhO
18,Nese Don,"by Azet, Zuna, RAF Camora","19,195",03/11/2019,1EBK8F9hcrAQo2OGJ66ILb
19,"break up with your girlfriend, i'm bored",by Ariana Grande,"18,686",03/11/2019,4kV4N9D1iKVxx1KLvtTpjS
20,Speechless (feat. Erika Sirola),by Robin Schulz,"17,510",03/11/2019,1rCcsYnmqbMYdkG7kS9GC5
21,Don't Call Me Up,by Mabel,"17,467",03/11/2019,5WHTFyqSii0lmT9R21abT8
22,Someone You Loved,by Lewis Capaldi,"17,453",03/11/2019,2TIlqbIneP0ZY1O0EzYLlc
23,Let Me Down Slowly,by Alec Benjamin,"17,178",03/11/2019,2qxmye6gAegTMjLKEBoR3d
24,Lelele,"by Azet, Zuna","17,117",03/11/2019,61A9J4906Zkuqd22oasZVR
